config_hash,name,n,n_emerged,rate,ci_lo,ci_hi
722aba2e030e8b68,live-test,1,1,1.0000,0.2065,1.0000
af33e944edef86f3,,1,0,0.0000,0.0000,0.7935
26c07b613e7d30e6,,2,0,0.0000,0.0000,0.6576
b000ffff7802376f,,2,2,1.0000,0.3424,1.0000
9fcdabd2858b293a,,1,1,1.0000,0.2065,1.0000
f33521c0516c527a,,1,0,0.0000,0.0000,0.7935
b7b77db4088160e1,openai/gpt-oss-20b,1,1,1.0000,0.2065,1.0000
b5b3540e00d4661b,llama3.1,1,1,1.0000,0.2065,1.0000
42d8688dba5c4510,,1,1,1.0000,0.2065,1.0000
0a9e6fde15cec01a,,1,1,1.0000,0.2065,1.0000
dcd3efe9f59226db,,1,1,1.0000,0.2065,1.0000
65074d3611c8071c,,1,1,1.0000,0.2065,1.0000
3e7183dda1bec4bc,,1,1,1.0000,0.2065,1.0000
1a893726392c0bd0,,1,1,1.0000,0.2065,1.0000
3feca03416dcb5fe,,1,1,1.0000,0.2065,1.0000
48f8679460c0ca42,,1,1,1.0000,0.2065,1.0000
9b54418e40e071ab,,1,1,1.0000,0.2065,1.0000
b522c28ccc24acab,,1,1,1.0000,0.2065,1.0000
8501b207e0228288,openai/gpt-oss-20b,1,1,1.0000,0.2065,1.0000
8c22eace7cfca9db,,1,1,1.0000,0.2065,1.0000
d42b386046b63a57,,1,1,1.0000,0.2065,1.0000
1de5d705c0db545d,,1,1,1.0000,0.2065,1.0000
5f97e181f0c51cb7,,1,1,1.0000,0.2065,1.0000
7d1591e1889fd66a,,1,1,1.0000,0.2065,1.0000
878fd131985955cb,,1,1,1.0000,0.2065,1.0000
e5057bc8651170fb,,1,1,1.0000,0.2065,1.0000
a39f9db0bbb1dc90,,1,1,1.0000,0.2065,1.0000
dcd8d117efb2a786,,1,1,1.0000,0.2065,1.0000
efb7784f1691a47e,,1,1,1.0000,0.2065,1.0000
e08bcce04a695184,,1,1,1.0000,0.2065,1.0000
6746cf9dec60af89,,1,1,1.0000,0.2065,1.0000
aab3b29e6d116af7,,1,1,1.0000,0.2065,1.0000
79bd444c6067db86,,1,0,0.0000,0.0000,0.7935
1ef74caae884d511,,1,1,1.0000,0.2065,1.0000
bc52578f092e614b,,1,1,1.0000,0.2065,1.0000
f4b3e3525eb4098b,,1,1,1.0000,0.2065,1.0000
d92016e895625f71,,1,0,0.0000,0.0000,0.7935
9144245405087e85,,1,1,1.0000,0.2065,1.0000
306240be0a3b7927,,1,1,1.0000,0.2065,1.0000
922c92cf195ec188,,1,1,1.0000,0.2065,1.0000
b7875ea6c28cba7e,,1,0,0.0000,0.0000,0.7935
0f077a77b6c0807e,10p 5r Qwen3-235B-A22B-Instruct-2507-tput t0.7,1,1,1.0000,0.2065,1.0000
586a9dd088ff56cb,,1,1,1.0000,0.2065,1.0000
fdbbe83b9f3c6645,,1,1,1.0000,0.2065,1.0000
1481af97a706d390,,1,1,1.0000,0.2065,1.0000
4849d5cef22915c1,,1,0,0.0000,0.0000,0.7935
1593075385d5ca6c,,1,1,1.0000,0.2065,1.0000
3ac43559e9f68b27,,1,1,1.0000,0.2065,1.0000
f8f087e1d6ca49c4,,1,1,1.0000,0.2065,1.0000
6c8a9a0e66c31514,,1,1,1.0000,0.2065,1.0000
ef93093b00bb9849,,1,1,1.0000,0.2065,1.0000
e92fc3d937f945b0,,1,0,0.0000,0.0000,0.7935
8980c3265a8b90a6,,1,1,1.0000,0.2065,1.0000
815db353fd2f61c8,,2,2,1.0000,0.3424,1.0000
46bdbbfc5e259ca5,,2,2,1.0000,0.3424,1.0000
6c8451d136c47919,,1,0,0.0000,0.0000,0.7935
1c89b57b5289cd58,,1,0,0.0000,0.0000,0.7935
dfda1ed9fe006e76,,1,0,0.0000,0.0000,0.7935
e0eb5e7f85993dae,,1,0,0.0000,0.0000,0.7935
b3129e92049b4710,,1,0,0.0000,0.0000,0.7935
